"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"ATMEGA328";"ATMEGA328P-AU";"ATMEGA328P-AU";"QFP80P900X900X120-32N";"";"8-bit Microcontroller with In-System Programmable Flash";"";"ATMEGA328P-AU";"1715486";"14R4631";"TQFP-32";"Atmel";
"C1";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C2";"4.7u";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C3";"4.7u";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C4";"0.47u";"C-EUC2012";"C2012";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C5";"0.47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C6";"0.47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C7";"0.47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C8";"0.47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C9";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C10";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C11";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C12";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C13";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C14";"0.01u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C16";"20p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C17";"20p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C18";"0.33u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C19";"2.2u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C20";"20p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C21";"20p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C22";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C23";"0.47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C24";"0.33u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C25";"2.2u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C26";"10u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C27";"10u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C28";"10u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C29";"0.47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C30";"0.47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C31";"10u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C32";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C33";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C34";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C35";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C36";"0.01u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C37";"3p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C38";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C39";"3p";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C40";"0.47u";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C41";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C42";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C43";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C44";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C45";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C46";"0.1u";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
